Cs,Al,B,Tg,Al4,Al5,B4,B3,B2,B1,B0,Al6
25.7,5.0,69.3,0,6.598626885338809,0,21.11680791930164,64.78532861747215,6.353457339184007,0.9919126204208696,0.023018402679133368,0.130848215603315
25.2,15.3,59.5,0,19.608626188244145,0,12.528838185426947,62.28327053546196,4.059982808977643,0.6657309479636763,0.007632067624321709,0.845919266301309
25.5,20.4,54.1,0,26.100695167100287,0,8.79436130814666,60.29375064948543,3.0501752646809313,0.476036450468458,0.0031259916480406535,1.2818551684701815
25.5,24.4,50.1,0,31.162069208360165,0,5.752242389732475,59.408808735709634,1.845396347020395,0.24112911484070088,0.000745560347829068,1.5896086439888437
25.0,30.2,44.8,0,38.14198588827292,0,1.6308248995129686,57.78412100153109,0.2991474538941364,0.020428279944284877,0.0,2.1246807783937425
20.43,5.38,74.18,0,6.330487143183387,0,16.733195978970215,72.10087459339772,3.951800272354838,0.4456731161589015,0.006263982808631017,0.4317049131263154
20.15,10.48,69.37,0,11.776498917796433,0,13.572414334695662,69.47968793126688,3.406664277206076,0.4130157377960803,0.003609077833046802,1.3481097234058284
20.0,15.34,64.66,0,16.755290494315375,0,11.621063086218564,65.10202105833307,3.6020852466658564,0.49706351634792173,0.0027670924346023928,2.4197095056846183
19.63,20.68,59.69,0,21.724688833692866,0,9.984776465031423,59.789461473280525,3.9027759744331805,0.5901928520298767,0.0017990831781846367,4.006305318353924
19.76,25.69,54.55,0,27.404498220173924,0,7.538460231910212,56.437888370270656,3.482527120559864,0.5239102148290118,0.0007634143744739833,4.6119524278818975
15.01,20.47,64.52,0,17.701129547107527,0,13.536019701877438,56.73662338221516,4.882845528051086,0.7566817906985552,0.002643104629257962,6.384056945420994
25.36,20.6,54.04,0,26.282979435615957,0,8.366312187152635,60.7902090896911,2.8161273008229357,0.4256256917938584,0.0025831796284277882,1.316163115295112
30.11,20.19,49.7,0,28.557529170783145,0,11.362619742906302,55.61442048023247,3.5096499020873155,0.6151667341877332,0.00989017163504082,0.3307237981680973
34.95,20.23,44.82,0,31.052233864112814,0,15.698514983116285,46.718248883975626,5.34662235657644,1.103088945474988,0.03437033431551617,0.04692063242833979
39.68,20.43,39.89,0,33.86529493675027,0,16.94543252584609,36.32498887802396,10.464812807305698,2.292466257234587,0.10293613636424331,0.004068458475217255
44.91,20.38,34.71,0,36.99391759369635,0,12.928229697648518,24.5571446355927,18.47292051237472,6.633547747904786,0.41414760433735387,9.22084455735541e-05
30.0,30.0,40.0,0,42.496463744846814,0,2.8197422276012145,54.20246035089497,0.12627750169500884,0.0019068926305640353,2.622197002063033e-06,0.360679112296053
40.0,30.0,30.0,0,49.9995624963883,0,13.276563763614135,26.143867068567708,8.767130506833391,1.7749938123702589,0.07025343988907334,0.0004375036116471628
40.0,20.0,40.0,0,33.330025904904325,0,16.443555262319045,35.23054155980369,12.073192894424773,2.786977635972343,0.13239931414678818,0.0033074284290161944
20.0,30.0,50.0,0,32.19185482182788,0,5.41924945890531,53.85011944845402,2.856781755047035,0.37379707317200367,5.226442169389389e-05,5.308145178172098
35.0,10.0,55.0,0,15.35756821189578,0,21.2335295321224,48.05436716642302,12.42897011293227,2.7824959186049156,0.1160218853020285,0.02704717271961395
30.0,5.0,65.0,0,7.095067425611412,0,24.225825266273244,58.17307744697777,8.666206603765207,1.736773976047537,0.055259564079018546,0.047789717245729675
