K,Si4,Si3,Si2,Si1,Si0
20.0,50.518698275192435,48.96278621817315,0.5183327446444378,0.00018275542189989986,6.568071549809611e-09
27.3,26.62175817773317,71.757651232991,1.6194230856156688,0.0011674188628982415,8.47972467119896e-08
28.6,22.01289609414469,75.97588463941386,2.0095425790731807,0.0016765470332042118,1.4033504547784387e-07
33.3,5.304840617784347,89.39939810195105,5.2866834587190725,0.009076305571188995,1.5159743086626054e-06
36.4,0.093591514679909,85.87129413781807,13.976659739109003,0.05843204960794704,2.255878501409934e-05
40.0,1.1428334489499215e-06,67.3604964375914,32.27936313938166,0.3597798371285236,0.0003594430649232463
42.9,5.860232023684231e-13,50.961494835346386,48.07868965697949,0.9581361799993345,0.0016793276741534574
44.4,2.213090426960255e-18,41.53470846377331,56.93413655787178,1.5276014929363266,0.003553485418530774
50.0,0.0,8.052247607745182,83.9538803419869,7.935496492790469,0.05837555747739431
28.152565392789302,23.845756074658702,74.3099372731812,1.8428573442070277,0.0014491934073983057,1.1454563821498039e-07
45.7400421644066,3.2614086766742056e-26,33.25506134076266,64.49652717571333,2.2417616262851823,0.006649857238774674
49.4645222749803,0.0,10.775396471426143,82.49215851098683,6.689493563747715,0.042951453839252814
