Li,B4,B3,B2,B1,B0
4.7619047619999995,4.990149432064286,95.00000516335739,0.009840241631691126,5.162535847031601e-06,4.107763425388288e-10
9.90990991,10.943636318949839,89.00009194092866,0.0561798295049013,9.188030451195296e-05,3.0312077742905634e-08
15.25423729,17.83536063351497,82.0004996298391,0.16364042951505448,0.0004989844226618354,3.227082163266416e-07
20.0,24.659904344223747,75.0015577066488,0.3369817892153774,0.001554613175435472,1.5467366682649216e-06
24.81203008,32.361689322563684,67.00418614307713,0.6299444003036866,0.0041741250339438095,6.009021582020977e-06
28.57142857,38.99759895468716,60.00853913543958,0.9853387619173307,0.008507160472356903,1.5987483596274236e-05
33.33333333,41.55805989900193,50.03988844236923,8.362225827868542,0.03976321915147774,6.261160886076333e-05
37.5,41.14625251153834,40.1854169710894,18.483298397867028,0.18464726792119837,0.00038485158408791304
41.17647059,40.64107797975327,30.508127708574715,28.344390642201457,0.5046796303665753,0.0017240391040505968
45.05494505,39.83369468429072,19.293316551165944,39.5872440971011,1.2781727837187586,0.0075718837235618985
54.95495495,30.89910529299094,0.003567611850606718,48.28426835117082,19.622549876124992,1.1905088678627849
58.33333333,24.84521826713724,6.720267529924937e-07,39.09038501465137,32.12879142034284,3.9356046258419446
61.53846154,18.698707316944432,1.0278327671466078e-11,30.17601747793546,42.2505504102097,8.874724794900287
64.9122807,12.041884938992496,3.557028010332538e-19,20.756815892959867,49.40259833609559,17.798700831952193
