Zn,P3,P2,P1,P0
4.7,95.0,5.0,6.366588678926332e-133,1.110890593617903e-266
10.4,88.0,12.0,4.4175393497501216e-132,2.683953618451088e-265
15.0,82.0,18.0,1.0718111304938066e-131,1.0841310627910172e-264
19.1,76.0,24.0,2.0293313644404998e-131,2.9439236018161823e-264
24.7,67.0,33.0,4.200508823090574e-131,9.196107804879334e-264
30.3,57.0,43.0,7.926416967267533e-131,2.500072766980235e-263
32.0,53.0,47.0,9.90865496803299e-131,3.561699475673878e-263
39.4,35.0,65.0,2.4119069446221797e-130,1.4886083784170986e-262
50.0,0.0,100.0,2.5856799261848313e-129,8.875601482084723e-261
51.7,0.0,93.05916752011764,6.881664959764728,0.05916752011763639
55.5,0.0,75.89462347502094,23.210753049958143,0.8946234750209333
59.6,0.0,55.63392739610884,40.73214520778236,3.633927396108822
62.1,0.0,42.87466569713511,50.25066860572982,6.8746656971350975
66.3,0.0,20.972251248877964,61.055497502244094,17.972251248877953
69.6,0.0,6.963667612772396,57.07266477445526,35.96366761277238
71.1,0.0,2.8232150836518493,48.353569832696365,48.82321508365183
